OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
3148,SF,44,0,SF-44-0,Bayview District,15045,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3149,SF,44,0,SF-44-0,Bayview District,15045,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3150,SF,44,0,SF-44-0,Bayview District,15045,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3151,SF,44,0,SF-44-0,Bayview District,15045,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3152,SF,44,0,SF-44-0,Bayview District,15045,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3153,SF,44,0,SF-44-0,Bayview District,15051,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3154,SF,44,0,SF-44-0,Bayview District,15051,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3155,SF,44,0,SF-44-0,Bayview District,15051,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3156,SF,44,0,SF-44-0,Bayview District,15051,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3157,SF,44,0,SF-44-0,Bayview District,15051,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3158,SF,44,0,SF-44-0,Bayview District,15108,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3159,SF,44,0,SF-44-0,Bayview District,15108,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3160,SF,44,0,SF-44-0,Bayview District,15108,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3161,SF,44,0,SF-44-0,Bayview District,15108,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3162,SF,44,0,SF-44-0,Bayview District,15108,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3163,SF,44,0,SF-44-0,Bayview District,15247,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3164,SF,44,0,SF-44-0,Bayview District,15247,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3165,SF,44,0,SF-44-0,Bayview District,15253,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3166,SF,44,0,SF-44-0,Bayview District,15253,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3167,SF,44,0,SF-44-0,Bayview District,15330,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3168,SF,44,0,SF-44-0,Bayview District,15330,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3169,SF,44,0,SF-44-0,Bayview District,15501,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3170,SF,44,0,SF-44-0,Bayview District,15501,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3171,SF,44,0,SF-44-0,Bayview District,15501,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3172,SF,44,0,SF-44-0,Bayview District,15501,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3173,SF,44,0,SF-44-0,Bayview District,15501,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3174,SF,44,0,SF-44-0,Bayview District,15503,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3175,SF,44,0,SF-44-0,Bayview District,15503,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3176,SF,44,0,SF-44-0,Bayview District,15503,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3177,SF,44,0,SF-44-0,Bayview District,15503,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3178,SF,44,0,SF-44-0,Bayview District,15503,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
